AnchorPoint	ExplorationNum	ExplorationType
8H	8F-1	Camera
8H	8F-2	Camera
8H	8F-3	RobotArm
8H	8F-4	RobotArm
8H	8E-1	Camera
8H	8E-2	Camera
8H	8E-3	RobotArm
8H	8E-4	RobotArm
8H	8D-1	Camera
8H	8D-2	Camera
8H	8D-3	RobotArm
8H	8D-4	RobotArm
8H	8K-1	RobotArm
8H	8K-2	RobotArm
8H	8K-3	Camera
8H	8K-4	Camera
8H	8L-1	RobotArm
8H	8L-2	RobotArm
8H	8L-3	Camera
8H	8L-4	Camera
8H	8M-1	RobotArm
8H	8M-2	RobotArm
8H	8M-3	Camera
8H	8M-4	Camera
8H	6H-1	Camera
8H	6H-2	RobotArm
8H	6H-3	RobotArm
8H	6H-4	Camera
8H	5H-1	Camera
8H	5H-2	RobotArm
8H	5H-3	RobotArm
8H	5H-4	Camera
8H	4H-1	Camera
8H	4H-2	RobotArm
8H	4H-3	RobotArm
8H	4H-4	Camera
8H	10H-1	RobotArm
8H	10H-2	Camera
8H	10H-3	Camera
8H	10H-4	RobotArm
8H	11H-1	RobotArm
8H	11H-2	Camera
8H	11H-3	Camera
8H	11H-4	RobotArm
8H	12H-1	RobotArm
8H	12H-2	Camera
8H	12H-3	Camera
8H	12H-4	RobotArm
8F	8H-1	RobotArm
8F	8H-2	RobotArm
8F	8H-3	Camera
8F	8H-4	Camera
8F	8J-1	RobotArm
8F	8J-2	RobotArm
8F	8J-3	Camera
8F	8J-4	Camera
8F	8K-1	RobotArm
8F	8K-2	RobotArm
8F	8K-3	Camera
8F	8K-4	Camera
8F	8D-1	Camera
8F	8D-2	Camera
8F	8D-3	RobotArm
8F	8D-4	RobotArm
8F	8C-1	Camera
8F	8C-2	Camera
8F	8C-3	RobotArm
8F	8C-4	RobotArm
8F	8B-1	Camera
8F	8B-2	Camera
8F	8B-3	RobotArm
8F	8B-4	RobotArm
8F	6F-1	Camera
8F	6F-2	RobotArm
8F	6F-3	RobotArm
8F	6F-4	Camera
8F	5F-1	Camera
8F	5F-2	RobotArm
8F	5F-3	RobotArm
8F	5F-4	Camera
8F	4F-1	Camera
8F	4F-2	RobotArm
8F	4F-3	RobotArm
8F	4F-4	Camera
8F	10F-1	RobotArm
8F	10F-2	Camera
8F	10F-3	Camera
8F	10F-4	RobotArm
8F	11F-1	RobotArm
8F	11F-2	Camera
8F	11F-3	Camera
8F	11F-4	RobotArm
8F	12F-1	RobotArm
8F	12F-2	Camera
8F	12F-3	Camera
8F	12F-4	RobotArm
8K	8H-1	Camera
8K	8H-2	Camera
8K	8H-3	RobotArm
8K	8H-4	RobotArm
8K	8G-1	Camera
8K	8G-2	Camera
8K	8G-3	RobotArm
8K	8G-4	RobotArm
8K	8F-1	Camera
8K	8F-2	Camera
8K	8F-3	RobotArm
8K	8F-4	RobotArm
8K	8M-1	RobotArm
8K	8M-2	RobotArm
8K	8M-3	Camera
8K	8M-4	Camera
8K	8N-1	RobotArm
8K	8N-2	RobotArm
8K	8N-3	Camera
8K	8N-4	Camera
8K	8P-1	RobotArm
8K	8P-2	RobotArm
8K	8P-3	Camera
8K	8P-4	Camera
8K	6K-1	Camera
8K	6K-2	RobotArm
8K	6K-3	RobotArm
8K	6K-4	Camera
8K	5K-1	Camera
8K	5K-2	RobotArm
8K	5K-3	RobotArm
8K	5K-4	Camera
8K	4K-1	Camera
8K	4K-2	RobotArm
8K	4K-3	RobotArm
8K	4K-4	Camera
8K	10K-1	RobotArm
8K	10K-2	Camera
8K	10K-3	Camera
8K	10K-4	RobotArm
8K	11K-1	RobotArm
8K	11K-2	Camera
8K	11K-3	Camera
8K	11K-4	RobotArm
8K	12K-1	RobotArm
8K	12K-2	Camera
8K	12K-3	Camera
8K	12K-4	RobotArm
6H	6F-1	Camera
6H	6F-2	Camera
6H	6F-3	RobotArm
6H	6F-4	RobotArm
6H	6E-1	Camera
6H	6E-2	Camera
6H	6E-3	RobotArm
6H	6E-4	RobotArm
6H	6D-1	Camera
6H	6D-2	Camera
6H	6D-3	RobotArm
6H	6D-4	RobotArm
6H	6K-1	RobotArm
6H	6K-2	RobotArm
6H	6K-3	Camera
6H	6K-4	Camera
